side,price,volume
BUY,221.6702,1.0000
BUY,221.6899,1.0000
BUY,222.5568,1.0000
BUY,221.9460,1.0000
BUY,225.4533,1.0000
BUY,222.7933,1.0000
BUY,226.7439,1.0000
BUY,228.5665,1.0000
BUY,231.3251,1.0000
BUY,230.0148,1.0000
BUY,230.5271,1.0000
BUY,233.4433,1.0000
BUY,235.2561,1.0000
BUY,234.0049,1.0000
BUY,236.1329,1.0000
BUY,235.5319,1.0000
BUY,234.2315,1.0000
BUY,229.5813,1.0000
BUY,225.3942,1.0000
BUY,227.1577,1.0000
BUY,228.7242,1.0000
BUY,228.6848,1.0000
BUY,229.2956,1.0000
BUY,232.7635,1.0000
BUY,230.5862,1.0000
BUY,232.7044,1.0000
BUY,233.5221,1.0000
BUY,235.3053,1.0000
BUY,232.1330,1.0000
BUY,232.8226,1.0000
BUY,235.1477,1.0000
BUY,236.9900,1.0000
BUY,235.6797,1.0000
BUY,238.1624,1.0000
BUY,236.5467,1.0000
BUY,241.0490,1.0000
BUY,241.3741,1.0000
BUY,240.4284,1.0000
BUY,239.9456,1.0000
BUY,241.8372,1.0000
BUY,240.9088,1.0000
BUY,240.5237,1.0000
BUY,239.5163,1.0000
BUY,242.3112,1.0000
BUY,245.5407,1.0000
BUY,246.8148,1.0000
BUY,248.5727,1.0000
BUY,249.5801,1.0000
BUY,251.6640,1.0000
BUY,252.2170,1.0000
BUY,251.7529,1.0000
BUY,250.0344,1.0000
BUY,250.5480,1.0000
BUY,250.7158,1.0000
BUY,252.7010,1.0000
BUY,247.2000,1.0000
BUY,243.4767,1.0000
BUY,242.5384,1.0000
BUY,243.1803,1.0000
BUY,244.7210,1.0000
BUY,246.9432,1.0000
BUY,244.1186,1.0000
BUY,242.3211,1.0000
BUY,242.3310,1.0000
BUY,237.3238,1.0000
BUY,240.9681,1.0000
BUY,241.1360,1.0000
BUY,241.1064,1.0000
BUY,237.0473,1.0000
BUY,235.2202,1.0000
BUY,231.6747,1.0000
BUY,229.2155,1.0000
BUY,228.5636,1.0000
BUY,227.6649,1.0000
BUY,231.0920,1.0000
BUY,233.6400,1.0000
BUY,234.5782,1.0000
BUY,234.9239,1.0000
BUY,233.8770,1.0000
BUY,234.0153,1.0000
BUY,231.2105,1.0000
BUY,230.6574,1.0000
BUY,231.7833,1.0000
BUY,235.8424,1.0000
BUY,235.5856,1.0000
BUY,235.7634,1.0000
BUY,240.0002,1.0000
BUY,241.9854,1.0000
BUY,241.9755,1.0000
BUY,244.4939,1.0000
BUY,247.7135,1.0000
BUY,246.4099,1.0000
BUY,247.6147,1.0000
BUY,248.6616,1.0000
BUY,252.3553,1.0000
BUY,254.4787,1.0000
BUY,253.2145,1.0000
BUY,254.6465,1.0000
BUY,254.4589,1.0000
BUY,247.8518,1.0000
BUY,248.9382,1.0000
BUY,245.2543,1.0000
BUY,242.2816,1.0000
BUY,246.0049,1.0000
BUY,250.1924,1.0000
BUY,249.8961,1.0000
BUY,252.0590,1.0000
BUY,249.9554,1.0000
BUY,248.5233,1.0000
BUY,250.9884,1.0000
BUY,252.6120,1.0000
BUY,253.5524,1.0000
BUY,256.2847,1.0000
BUY,258.1657,1.0000
BUY,255.6511,1.0000
BUY,258.5419,1.0000
BUY,259.2448,1.0000
BUY,262.0068,1.0000
BUY,261.9474,1.0000
BUY,262.5315,1.0000
BUY,257.2946,1.0000
BUY,250.9587,1.0000
BUY,257.5222,1.0000
BUY,256.7104,1.0000
BUY,256.6213,1.0000
BUY,259.3735,1.0000
BUY,259.9971,1.0000
BUY,262.0167,1.0000
BUY,261.8880,1.0000
BUY,261.2841,1.0000
BUY,265.1153,1.0000
BUY,267.4120,1.0000
BUY,268.3327,1.0000
BUY,267.7487,1.0000
BUY,264.9371,1.0000
BUY,269.1247,1.0000
BUY,267.8180,1.0000
BUY,267.5605,1.0000
BUY,269.0356,1.0000
BUY,270.4810,1.0000
BUY,271.5700,1.0000
BUY,271.2235,1.0000
BUY,280.7372,1.0000
BUY,276.5693,1.0000
BUY,282.1429,1.0000
BUY,280.6480,1.0000
BUY,284.2417,1.0000
BUY,284.2615,1.0000
BUY,275.5299,1.0000
BUY,278.4305,1.0000
BUY,278.8166,1.0000
BUY,280.0046,1.0000
BUY,279.9154,1.0000
BUY,278.7770,1.0000
BUY,278.3909,1.0000
BUY,281.8459,1.0000
BUY,281.5489,1.0000
BUY,282.2221,1.0000
BUY,283.6774,1.0000
BUY,285.3604,1.0000
BUY,286.6077,1.0000
BUY,288.8945,1.0000
BUY,284.9445,1.0000
BUY,283.9051,1.0000
BUY,287.1522,1.0000
BUY,287.9541,1.0000
BUY,288.5480,1.0000
BUY,289.6371,1.0000
BUY,291.5378,1.0000
BUY,294.7651,1.0000
BUY,292.5871,1.0000
BUY,291.8332,1.0000
BUY,296.5452,1.0000
BUY,296.4261,1.0000
BUY,292.2895,1.0000
BUY,294.2239,1.0000
BUY,295.0076,1.0000
BUY,297.1503,1.0000
BUY,293.5692,1.0000
BUY,288.8473,1.0000
BUY,279.9393,1.0000
BUY,273.8485,1.0000
BUY,279.7707,1.0000
BUY,277.0923,1.0000
BUY,278.5009,1.0000
BUY,275.7630,1.0000
BUY,277.2113,1.0000
BUY,279.1159,1.0000
BUY,284.0064,1.0000
BUY,283.6196,1.0000
BUY,283.7684,1.0000
BUY,287.2998,1.0000
BUY,284.6016,1.0000
BUY,290.8115,1.0000
BUY,292.5773,1.0000
BUY,283.4113,1.0000
BUY,285.6035,1.0000
BUY,287.3891,1.0000
BUY,285.2663,1.0000
BUY,287.2007,1.0000
BUY,288.4307,1.0000
BUY,286.9328,1.0000
BUY,287.2998,1.0000
BUY,284.9191,1.0000
BUY,286.6154,1.0000
BUY,285.2464,1.0000
BUY,280.7031,1.0000
BUY,283.6989,1.0000
BUY,282.8359,1.0000
BUY,282.2010,1.0000
BUY,278.9473,1.0000
BUY,278.1537,1.0000
BUY,279.3937,1.0000
BUY,280.8718,1.0000
BUY,288.3513,1.0000
BUY,288.2323,1.0000
BUY,292.4086,1.0000
BUY,290.3750,1.0000
BUY,292.9046,1.0000
BUY,295.9302,1.0000
BUY,292.3490,1.0000
BUY,292.2201,1.0000
BUY,291.2380,1.0000
BUY,290.1469,1.0000
BUY,293.5097,1.0000
BUY,300.0172,1.0000
BUY,301.8524,1.0000
BUY,303.9355,1.0000
BUY,310.4529,1.0000
BUY,312.6353,1.0000
BUY,309.7386,1.0000
BUY,305.4929,1.0000
BUY,307.3281,1.0000
BUY,304.7986,1.0000
BUY,301.1480,1.0000
BUY,294.9159,1.0000
BUY,290.0853,1.0000
BUY,282.0244,1.0000
BUY,281.8653,1.0000
BUY,279.4897,1.0000
BUY,282.8692,1.0000
BUY,284.2707,1.0000
BUY,281.1994,1.0000
BUY,276.8061,1.0000
BUY,277.4025,1.0000
BUY,281.3882,1.0000
BUY,282.7897,1.0000
BUY,286.6064,1.0000
BUY,286.6164,1.0000
BUY,284.8074,1.0000
