Count,Index,Timestamp,Type,Side,Price,Volume
00001,00005,1704672000,Market,Buy Order,0.0000,10.0000
00002,00009,1705017600,Market,Buy Order,0.0000,10.0000
00003,00013,1705622400,Market,Buy Order,0.0000,10.0000
00004,00015,1705968000,Market,Buy Order,0.0000,10.0000
00005,00024,1707091200,Market,Buy Order,0.0000,10.0000
00006,00028,1707436800,Market,Buy Order,0.0000,10.0000
00007,00032,1707955200,Market,Buy Order,0.0000,10.0000
00008,00034,1708387200,Market,Buy Order,0.0000,10.0000
00009,00040,1709078400,Market,Buy Order,0.0000,10.0000
00010,00050,1710288000,Market,Buy Order,0.0000,10.0000
00011,00055,1710892800,Market,Buy Order,0.0000,10.0000
00012,00061,1711584000,Market,Buy Order,0.0000,10.0000
00013,00067,1712534400,Market,Buy Order,0.0000,10.0000
00014,00080,1714003200,Market,Buy Order,0.0000,10.0000
00015,00088,1715040000,Market,Buy Order,0.0000,10.0000
00016,00091,1715299200,Market,Buy Order,0.0000,10.0000
00017,00096,1715904000,Market,Buy Order,0.0000,10.0000
00018,00098,1716249600,Market,Buy Order,0.0000,10.0000
00019,00107,1717459200,Market,Buy Order,0.0000,10.0000
00020,00114,1718236800,Market,Buy Order,0.0000,10.0000
00021,00118,1718841600,Market,Buy Order,0.0000,10.0000
00022,00120,1719187200,Market,Buy Order,0.0000,10.0000
00023,00124,1719532800,Market,Buy Order,0.0000,10.0000
00024,00128,1720137600,Market,Buy Order,0.0000,10.0000
00025,00136,1721174400,Market,Buy Order,0.0000,10.0000
00026,00141,1721779200,Market,Buy Order,0.0000,10.0000
00027,00143,1721952000,Market,Buy Order,0.0000,10.0000
00028,00145,1722297600,Market,Buy Order,0.0000,10.0000
00029,00152,1723075200,Market,Buy Order,0.0000,10.0000
00030,00156,1723593600,Market,Buy Order,0.0000,10.0000
00031,00162,1724284800,Market,Buy Order,0.0000,10.0000
00032,00170,1725408000,Market,Buy Order,0.0000,10.0000
00033,00173,1725840000,Market,Buy Order,0.0000,10.0000
00034,00178,1726444800,Market,Buy Order,0.0000,10.0000
00035,00183,1727049600,Market,Buy Order,0.0000,10.0000
00036,00192,1728000000,Market,Buy Order,0.0000,10.0000
00037,00195,1728432000,Market,Buy Order,0.0000,10.0000
00038,00198,1728864000,Market,Buy Order,0.0000,10.0000
00039,00203,1729468800,Market,Buy Order,0.0000,10.0000
00040,00205,1729641600,Market,Buy Order,0.0000,10.0000
00041,00217,1731024000,Market,Buy Order,0.0000,10.0000
00042,00220,1731456000,Market,Buy Order,0.0000,10.0000
00043,00230,1732665600,Market,Buy Order,0.0000,10.0000
00044,00249,1735171200,Market,Buy Order,0.0000,10.0000
